inst_name,address,state_abbr,zip,city,full_address,latitude,longitude
Berkshire Community College,1350 West Street,MA,01201-5786,Pittsfield,"1350 West Street, Pittsfield, MA 01201-5786",42.4570252,-73.3166072
Bristol Community College,777 Elsbree St,MA,02720-7395,Fall River,"777 Elsbree St, Fall River, MA 02720-7395",41.7206318,-71.1212641
Bunker Hill Community College,250 New Rutherford Ave,MA,02129-2925,Boston,"250 New Rutherford Ave, Boston, MA 02129-2925",42.3751812,-71.0694799
Cape Cod Community College,2240 Iyannough Rd,MA,02668-1532,West Barnstable,"2240 Iyannough Rd, West Barnstable, MA 02668-1532",41.6927589,-70.3369364
Greenfield Community College,1 College Dr,MA,01301-9739,Greenfield,"1 College Dr, Greenfield, MA 01301-9739",42.5996114,-72.6313529
Holyoke Community College,303 Homestead Ave,MA,01040-1091,Holyoke,"303 Homestead Ave, Holyoke, MA 01040-1091",42.1951812,-72.6514655
Massachusetts Bay Community College,50 Oakland St,MA,02481-5399,Wellesley Hills,"50 Oakland St, Wellesley Hills, MA 02481-5399",42.3124285,-71.2637772
Massasoit Community College,1 Massasoit Blvd,MA,02302-3996,Brockton,"1 Massasoit Blvd, Brockton, MA 02302-3996",42.0772566,-70.988584
Middlesex Community College,591 Springs Rd,MA,01730-9124,Bedford,"591 Springs Rd, Bedford, MA 01730-9124",42.522784,-71.2735527
Mount Wachusett Community College,444 Green St,MA,01440-1000,Gardner,"444 Green St, Gardner, MA 01440-1000",42.5947058,-71.9824622
North Shore Community College,1 Ferncroft Rd,MA,01923-0840,Danvers,"1 Ferncroft Rd, Danvers, MA 01923-0840",42.5923662,-70.9688185
Northern Essex Community College,100 Elliott Street,MA,01830-2399,Haverhill,"100 Elliott Street, Haverhill, MA 01830-2399",42.7966928,-71.0470029
Quinsigamond Community College,670 West Boylston Street,MA,01606-2092,Worcester,"670 West Boylston Street, Worcester, MA 01606-2092",42.3136518,-71.7950331
Roxbury Community College,1234 Columbus Ave,MA,02120-3400,Roxbury Crossing,"1234 Columbus Ave, Roxbury Crossing, MA 02120-3400",42.3307719,-71.0946042
Springfield Technical Community College,1 Armory Sq,MA,01105-1296,Springfield,"1 Armory Sq, Springfield, MA 01105-1296",42.1106474,-72.5793458
